pub_date	title	venue	excerpt	citation	url_slug	paper_url
2023-10-31	Population genomics of the invasive Anoplophora glabripennis for the purpose of biosurveillance		This paper is about the number 1. The number 2 is left for future work.	ls	Population genomics of the invasive Anoplophora glabripennis for the purpose of biosurveillance	http://mimingcui.github.io/files/Thesis39278.pdf
2022-03-21	"Genome-scale phylogeography resolves the native population structure of the Asian longhorned beetle, __Anoplophora glabripennis__ (Motschulsky)"	Evolutionary Application	This paper is about the number 2. The number 3 is left for future work.	ls	"Genome-scale phylogeography resolves the native population structure of the Asian longhorned beetle, __Anoplophora glabripennis__ (Motschulsky)"	http://mimingcui.github.io/files/EvolAppl2022.pdf
						
